serial_no,college_id,college_name,college_type,state,place,exam_type,category,opening_cutoff_rank,closing_cutoff_rank,seats,year,website,background_images
27,C453,New Horizon College of Engineering,MCA,Karnataka,Bengaluru,PGCET,SC,7189,10842,5,2023,https://newhorizonindia.edu,
28,C453,New Horizon College of Engineering,MCA,Karnataka,Bengaluru,PGCET,ST,7452,12894,1,2023,https://newhorizonindia.edu,
29,C522,SJCE Mysore,MCA,Karnataka,Mysore,PGCET,GM,1359,3205,28,2023,https://sjce.ac.in,
30,C522,SJCE Mysore,MCA,Karnataka,Mysore,PGCET,OBC,947,2627,16,2023,https://sjce.ac.in,
31,C522,SJCE Mysore,MCA,Karnataka,Mysore,PGCET,SC,405,392,5,2023,https://sjce.ac.in,
32,C522,SJCE Mysore,MCA,Karnataka,Mysore,PGCET,ST,571,1295,3,2023,https://sjce.ac.in,
33,C545,NITTE Meenakshi Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,GM,1272,3036,32,2023,https://nmit.ac.in,
34,C545,NITTE Meenakshi Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,OBC,2358,4978,17,2023,https://nmit.ac.in,
35,C545,NITTE Meenakshi Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,SC,7905,11294,3,2023,https://nmit.ac.in,
36,C545,NITTE Meenakshi Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,ST,7366,9301,3,2023,https://nmit.ac.in,
37,C445,MS Ramaiah Institute of Technology (MSRIT),MCA,Karnataka,Bengaluru,PGCET,GM,1114,1514,29,2023,https://msrit.edu,
38,C445,MS Ramaiah Institute of Technology (MSRIT),MCA,Karnataka,Bengaluru,PGCET,OBC,771,6468,20,2023,https://msrit.edu,
39,C445,MS Ramaiah Institute of Technology (MSRIT),MCA,Karnataka,Bengaluru,PGCET,SC,470,728,5,2023,https://msrit.edu,
40,C445,MS Ramaiah Institute of Technology (MSRIT),MCA,Karnataka,Bengaluru,PGCET,ST,516,1043,1,2023,https://msrit.edu,
41,C440,Kristu Jayanti College,MCA,Karnataka,Bengaluru,PGCET,GM,605,3408,35,2023,https://kristujayanti.edu.in,
42,C440,Kristu Jayanti College,MCA,Karnataka,Bengaluru,PGCET,OBC,2092,4116,16,2023,https://kristujayanti.edu.in,
43,C440,Kristu Jayanti College,MCA,Karnataka,Bengaluru,PGCET,SC,6842,14264,3,2023,https://kristujayanti.edu.in,
44,C440,Kristu Jayanti College,MCA,Karnataka,Bengaluru,PGCET,ST,5997,15312,3,2023,https://kristujayanti.edu.in,
45,C466,REVA University,MCA,Karnataka,Bengaluru,PGCET,GM,710,1560,29,2023,https://reva.edu.in,
46,C466,REVA University,MCA,Karnataka,Bengaluru,PGCET,OBC,815,6527,17,2023,https://reva.edu.in,
47,C466,REVA University,MCA,Karnataka,Bengaluru,PGCET,SC,4829,14684,4,2023,https://reva.edu.in,
48,C466,REVA University,MCA,Karnataka,Bengaluru,PGCET,ST,5819,15512,3,2023,https://reva.edu.in,
49,C567,East Point College of Engineering,MCA,Karnataka,Bengaluru,PGCET,GM,395,4555,33,2023,https://eastpoint.ac.in,
50,C567,East Point College of Engineering,MCA,Karnataka,Bengaluru,PGCET,OBC,545,3274,21,2023,https://eastpoint.ac.in,
51,C567,East Point College of Engineering,MCA,Karnataka,Bengaluru,PGCET,SC,7639,10575,3,2023,https://eastpoint.ac.in,
52,C567,East Point College of Engineering,MCA,Karnataka,Bengaluru,PGCET,ST,4917,10968,1,2023,https://eastpoint.ac.in,
53,C411,BIT Bangalore,MCA,Karnataka,Bengaluru,PGCET,GM,105,4347,25,2023,https://bit-bangalore.edu.in,
54,C411,BIT Bangalore,MCA,Karnataka,Bengaluru,PGCET,OBC,2261,3521,20,2023,https://bit-bangalore.edu.in,
55,C411,BIT Bangalore,MCA,Karnataka,Bengaluru,PGCET,SC,4217,11456,5,2023,https://bit-bangalore.edu.in,
56,C411,BIT Bangalore,MCA,Karnataka,Bengaluru,PGCET,ST,5529,9783,2,2023,https://bit-bangalore.edu.in,
57,C406,AMC Engineering College,MCA,Karnataka,Bengaluru,PGCET,GM,635,3294,32,2023,https://amc.edu.in,
58,C406,AMC Engineering College,MCA,Karnataka,Bengaluru,PGCET,OBC,1634,4452,16,2023,https://amc.edu.in,
59,C406,AMC Engineering College,MCA,Karnataka,Bengaluru,PGCET,SC,7128,8790,4,2023,https://amc.edu.in,
60,C406,AMC Engineering College,MCA,Karnataka,Bengaluru,PGCET,ST,6942,15367,2,2023,https://amc.edu.in,
61,C468,RNS Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,GM,632,1569,28,2023,https://rnsit.ac.in,
62,C468,RNS Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,OBC,2101,4808,15,2023,https://rnsit.ac.in,
63,C468,RNS Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,SC,3371,14810,3,2023,https://rnsit.ac.in,
64,C468,RNS Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,ST,7448,10425,3,2023,https://rnsit.ac.in,
65,C520,DSU (Dayananda Sagar University),MCA,Karnataka,Bengaluru,PGCET,GM,682,3512,28,2023,https://dsu.edu.in,
66,C520,DSU (Dayananda Sagar University),MCA,Karnataka,Bengaluru,PGCET,OBC,1336,3709,21,2023,https://dsu.edu.in,
67,C520,DSU (Dayananda Sagar University),MCA,Karnataka,Bengaluru,PGCET,SC,4313,14619,3,2023,https://dsu.edu.in,
68,C520,DSU (Dayananda Sagar University),MCA,Karnataka,Bengaluru,PGCET,ST,5086,10345,2,2023,https://dsu.edu.in,
69,C489,Oxford College of Engineering,MCA,Karnataka,Bengaluru,PGCET,GM,1328,2821,29,2023,The Oxford College of Engineering,
70,C489,Oxford College of Engineering,MCA,Karnataka,Bengaluru,PGCET,OBC,1164,3129,21,2023,The Oxford College of Engineering,
71,C489,Oxford College of Engineering,MCA,Karnataka,Bengaluru,PGCET,SC,7363,13231,4,2023,The Oxford College of Engineering,
72,C489,Oxford College of Engineering,MCA,Karnataka,Bengaluru,PGCET,ST,8497,14850,1,2023,The Oxford College of Engineering,
73,C417,Cambridge Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,GM,1242,3197,35,2023,https://cit.edu.in,
74,C417,Cambridge Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,OBC,2169,2812,19,2023,https://cit.edu.in,
75,C417,Cambridge Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,SC,5948,13848,4,2023,https://cit.edu.in,
76,C417,Cambridge Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,ST,7471,14796,3,2023,https://cit.edu.in,
77,C488,NIE Institute of Technology (NIEIT),MCA,Karnataka,Mysore,PGCET,GM,1120,2985,26,2023,https://nie.ac.in,
78,C488,NIE Institute of Technology (NIEIT),MCA,Karnataka,Mysore,PGCET,OBC,1880,5124,15,2023,https://nie.ac.in,
79,C488,NIE Institute of Technology (NIEIT),MCA,Karnataka,Mysore,PGCET,SC,3672,9862,5,2023,https://nie.ac.in,
80,C488,NIE Institute of Technology (NIEIT),MCA,Karnataka,Mysore,PGCET,ST,2794,7284,2,2023,https://nie.ac.in,
81,C456,PES College of Engineering (PESCE),MCA,Karnataka,Mandya,PGCET,GM,2250,5127,30,2023,https://pesce.ac.in,
82,C456,PES College of Engineering (PESCE),MCA,Karnataka,Mandya,PGCET,OBC,3145,6730,18,2023,https://pesce.ac.in,
83,C456,PES College of Engineering (PESCE),MCA,Karnataka,Mandya,PGCET,SC,7852,14792,4,2023,https://pesce.ac.in,
84,C456,PES College of Engineering (PESCE),MCA,Karnataka,Mandya,PGCET,ST,8221,15823,2,2023,https://pesce.ac.in,
85,C480,JSS STU (SJCE South Campus),MCA,Karnataka,Mysore,PGCET,GM,1890,4702,28,2023,https://jssstuniv.in,
86,C480,JSS STU (SJCE South Campus),MCA,Karnataka,Mysore,PGCET,OBC,2711,6234,16,2023,https://jssstuniv.in,
87,C480,JSS STU (SJCE South Campus),MCA,Karnataka,Mysore,PGCET,SC,6455,13280,4,2023,https://jssstuniv.in,
88,C480,JSS STU (SJCE South Campus),MCA,Karnataka,Mysore,PGCET,ST,7251,14357,2,2023,https://jssstuniv.in,
89,C631,Malnad College of Engineering (MCE),MCA,Karnataka,Hassan,PGCET,GM,2985,6120,30,2023,https://mcehassan.ac.in,
90,C631,Malnad College of Engineering (MCE),MCA,Karnataka,Hassan,PGCET,OBC,3760,7684,18,2023,https://mcehassan.ac.in,
91,C631,Malnad College of Engineering (MCE),MCA,Karnataka,Hassan,PGCET,SC,8894,15620,4,2023,https://mcehassan.ac.in,
92,C631,Malnad College of Engineering (MCE),MCA,Karnataka,Hassan,PGCET,ST,10420,16852,2,2023,https://mcehassan.ac.in,
93,C484,St. Joseph Engineering College (SJEC),MCA,Karnataka,Mangaluru,PGCET,GM,3120,6820,30,2023,https://sjec.ac.in,
94,C484,St. Joseph Engineering College (SJEC),MCA,Karnataka,Mangaluru,PGCET,OBC,3890,8290,18,2023,https://sjec.ac.in,
95,C484,St. Joseph Engineering College (SJEC),MCA,Karnataka,Mangaluru,PGCET,SC,9900,16840,4,2023,https://sjec.ac.in,
96,C484,St. Joseph Engineering College (SJEC),MCA,Karnataka,Mangaluru,PGCET,ST,11210,18210,2,2023,https://sjec.ac.in,
97,C421,Dayananda Sagar College of Engineering (DSCE),MCA,Karnataka,Bengaluru,PGCET,GM,287,2021,33,2024,https://dsce.edu.in,
98,C421,Dayananda Sagar College of Engineering (DSCE),MCA,Karnataka,Bengaluru,PGCET,OBC,824,1276,21,2024,https://dsce.edu.in,
99,C421,Dayananda Sagar College of Engineering (DSCE),MCA,Karnataka,Bengaluru,PGCET,SC,2239,5325,5,2024,https://dsce.edu.in,
100,C421,Dayananda Sagar College of Engineering (DSCE),MCA,Karnataka,Bengaluru,PGCET,ST,887,5733,3,2024,https://dsce.edu.in,
101,C414,BMS College of Engineering (BMSCE),MCA,Karnataka,Bengaluru,PGCET,GM,1368,2133,29,2024,https://bmsce.ac.in,
102,C414,BMS College of Engineering (BMSCE),MCA,Karnataka,Bengaluru,PGCET,OBC,1054,3632,20,2024,https://bmsce.ac.in,
103,C414,BMS College of Engineering (BMSCE),MCA,Karnataka,Bengaluru,PGCET,SC,6767,12027,3,2024,https://bmsce.ac.in,
104,C414,BMS College of Engineering (BMSCE),MCA,Karnataka,Bengaluru,PGCET,ST,6639,9983,2,2024,https://bmsce.ac.in,
105,C463,RV College of Engineering (RVCE),MCA,Karnataka,Bengaluru,PGCET,GM,80,664,28,2024,https://rvce.edu.in,
106,C463,RV College of Engineering (RVCE),MCA,Karnataka,Bengaluru,PGCET,OBC,1691,3601,19,2024,https://rvce.edu.in,
107,C463,RV College of Engineering (RVCE),MCA,Karnataka,Bengaluru,PGCET,SC,437,594,4,2024,https://rvce.edu.in,
108,C463,RV College of Engineering (RVCE),MCA,Karnataka,Bengaluru,PGCET,ST,175,572,3,2024,https://rvce.edu.in,
109,C457,PES University (RR Campus),MCA,Karnataka,Bengaluru,PGCET,GM,253,2171,30,2024,https://pes.edu,
110,C457,PES University (RR Campus),MCA,Karnataka,Bengaluru,PGCET,OBC,877,5033,20,2024,https://pes.edu,
111,C457,PES University (RR Campus),MCA,Karnataka,Bengaluru,PGCET,SC,3052,5974,4,2024,https://pes.edu,
112,C457,PES University (RR Campus),MCA,Karnataka,Bengaluru,PGCET,ST,1144,7747,2,2024,https://pes.edu,
113,C524,Acharya Institute of Technology (AIT),MCA,Karnataka,Bengaluru,PGCET,GM,949,1673,34,2024,https://acharya.ac.in,
114,C524,Acharya Institute of Technology (AIT),MCA,Karnataka,Bengaluru,PGCET,OBC,2115,3080,20,2024,https://acharya.ac.in,
115,C524,Acharya Institute of Technology (AIT),MCA,Karnataka,Bengaluru,PGCET,SC,3743,9980,5,2024,https://acharya.ac.in,
116,C524,Acharya Institute of Technology (AIT),MCA,Karnataka,Bengaluru,PGCET,ST,5034,13192,1,2024,https://acharya.ac.in,
117,C521,CMR Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,GM,299,2637,26,2024,https://cmrit.ac.in,
118,C521,CMR Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,OBC,1654,4785,18,2024,https://cmrit.ac.in,
119,C521,CMR Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,SC,7678,9898,4,2024,https://cmrit.ac.in,
120,C521,CMR Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,ST,7484,12602,1,2024,https://cmrit.ac.in,
121,C453,New Horizon College of Engineering,MCA,Karnataka,Bengaluru,PGCET,GM,414,3720,32,2024,https://newhorizonindia.edu,
122,C453,New Horizon College of Engineering,MCA,Karnataka,Bengaluru,PGCET,OBC,1883,3424,17,2024,https://newhorizonindia.edu,
123,C453,New Horizon College of Engineering,MCA,Karnataka,Bengaluru,PGCET,SC,7189,10842,5,2024,https://newhorizonindia.edu,
124,C453,New Horizon College of Engineering,MCA,Karnataka,Bengaluru,PGCET,ST,7452,12894,1,2024,https://newhorizonindia.edu,
125,C522,SJCE Mysore,MCA,Karnataka,Mysore,PGCET,GM,1359,3205,28,2024,https://sjce.ac.in,
126,C522,SJCE Mysore,MCA,Karnataka,Mysore,PGCET,OBC,947,2627,16,2024,https://sjce.ac.in,
127,C522,SJCE Mysore,MCA,Karnataka,Mysore,PGCET,SC,405,392,5,2024,https://sjce.ac.in,
128,C522,SJCE Mysore,MCA,Karnataka,Mysore,PGCET,ST,571,1295,3,2024,https://sjce.ac.in,
129,C545,NITTE Meenakshi Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,GM,1272,3036,32,2024,https://nmit.ac.in,
130,C545,NITTE Meenakshi Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,OBC,2358,4978,17,2024,https://nmit.ac.in,
131,C545,NITTE Meenakshi Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,SC,7905,11294,3,2024,https://nmit.ac.in,
132,C545,NITTE Meenakshi Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,ST,7366,9301,3,2024,https://nmit.ac.in,
133,C445,MS Ramaiah Institute of Technology (MSRIT),MCA,Karnataka,Bengaluru,PGCET,GM,1114,1514,29,2024,https://msrit.edu,
134,C445,MS Ramaiah Institute of Technology (MSRIT),MCA,Karnataka,Bengaluru,PGCET,OBC,771,6468,20,2024,https://msrit.edu,
135,C445,MS Ramaiah Institute of Technology (MSRIT),MCA,Karnataka,Bengaluru,PGCET,SC,470,728,5,2024,https://msrit.edu,
136,C445,MS Ramaiah Institute of Technology (MSRIT),MCA,Karnataka,Bengaluru,PGCET,ST,516,1043,1,2024,https://msrit.edu,
137,C440,Kristu Jayanti College,MCA,Karnataka,Bengaluru,PGCET,GM,605,3408,35,2024,https://kristujayanti.edu.in,
138,C440,Kristu Jayanti College,MCA,Karnataka,Bengaluru,PGCET,OBC,2092,4116,16,2024,https://kristujayanti.edu.in,
139,C440,Kristu Jayanti College,MCA,Karnataka,Bengaluru,PGCET,SC,6842,14264,3,2024,https://kristujayanti.edu.in,
140,C440,Kristu Jayanti College,MCA,Karnataka,Bengaluru,PGCET,ST,5997,15312,3,2024,https://kristujayanti.edu.in,
141,C466,REVA University,MCA,Karnataka,Bengaluru,PGCET,GM,710,1560,29,2024,https://reva.edu.in,
142,C466,REVA University,MCA,Karnataka,Bengaluru,PGCET,OBC,815,6527,17,2024,https://reva.edu.in,
143,C466,REVA University,MCA,Karnataka,Bengaluru,PGCET,SC,4829,14684,4,2024,https://reva.edu.in,
144,C466,REVA University,MCA,Karnataka,Bengaluru,PGCET,ST,5819,15512,3,2024,https://reva.edu.in,
145,C567,East Point College of Engineering,MCA,Karnataka,Bengaluru,PGCET,GM,395,4555,33,2024,https://eastpoint.ac.in,
146,C567,East Point College of Engineering,MCA,Karnataka,Bengaluru,PGCET,OBC,545,3274,21,2024,https://eastpoint.ac.in,
147,C567,East Point College of Engineering,MCA,Karnataka,Bengaluru,PGCET,SC,7639,10575,3,2024,https://eastpoint.ac.in,
148,C567,East Point College of Engineering,MCA,Karnataka,Bengaluru,PGCET,ST,4917,10968,1,2024,https://eastpoint.ac.in,
149,C411,BIT Bangalore,MCA,Karnataka,Bengaluru,PGCET,GM,105,4347,25,2024,https://bit-bangalore.edu.in,
150,C411,BIT Bangalore,MCA,Karnataka,Bengaluru,PGCET,OBC,2261,3521,20,2024,https://bit-bangalore.edu.in,
151,C411,BIT Bangalore,MCA,Karnataka,Bengaluru,PGCET,SC,4217,11456,5,2024,https://bit-bangalore.edu.in,
152,C411,BIT Bangalore,MCA,Karnataka,Bengaluru,PGCET,ST,5529,9783,2,2024,https://bit-bangalore.edu.in,
153,C406,AMC Engineering College,MCA,Karnataka,Bengaluru,PGCET,GM,635,3294,32,2024,https://amc.edu.in,
154,C406,AMC Engineering College,MCA,Karnataka,Bengaluru,PGCET,OBC,1634,4452,16,2024,https://amc.edu.in,
155,C406,AMC Engineering College,MCA,Karnataka,Bengaluru,PGCET,SC,7128,8790,4,2024,https://amc.edu.in,
156,C406,AMC Engineering College,MCA,Karnataka,Bengaluru,PGCET,ST,6942,15367,2,2024,https://amc.edu.in,
157,C468,RNS Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,GM,632,1569,28,2024,https://rnsit.ac.in,
158,C468,RNS Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,OBC,2101,4808,15,2024,https://rnsit.ac.in,
159,C468,RNS Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,SC,3371,14810,3,2024,https://rnsit.ac.in,
160,C468,RNS Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,ST,7448,10425,3,2024,https://rnsit.ac.in,
161,C520,DSU (Dayananda Sagar University),MCA,Karnataka,Bengaluru,PGCET,GM,682,3512,28,2024,https://dsu.edu.in,
162,C520,DSU (Dayananda Sagar University),MCA,Karnataka,Bengaluru,PGCET,OBC,1336,3709,21,2024,https://dsu.edu.in,
163,C520,DSU (Dayananda Sagar University),MCA,Karnataka,Bengaluru,PGCET,SC,4813,13619,3,2024,https://dsu.edu.in,
164,C520,DSU (Dayananda Sagar University),MCA,Karnataka,Bengaluru,PGCET,ST,5786,11345,2,2024,https://dsu.edu.in,
165,C489,Oxford College of Engineering,MCA,Karnataka,Bengaluru,PGCET,GM,1328,2821,29,2024,The Oxford College of Engineering,
166,C489,Oxford College of Engineering,MCA,Karnataka,Bengaluru,PGCET,OBC,1164,3129,21,2024,The Oxford College of Engineering,
167,C489,Oxford College of Engineering,MCA,Karnataka,Bengaluru,PGCET,SC,7363,13231,4,2024,The Oxford College of Engineering,
168,C489,Oxford College of Engineering,MCA,Karnataka,Bengaluru,PGCET,ST,8497,10850,1,2024,The Oxford College of Engineering,
169,C417,Cambridge Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,GM,1242,3197,35,2024,https://cit.edu.in,
170,C417,Cambridge Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,OBC,2169,2812,19,2024,https://cit.edu.in,
171,C417,Cambridge Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,SC,7748,13848,4,2024,https://cit.edu.in,
172,C417,Cambridge Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,ST,7471,14796,3,2024,https://cit.edu.in,
173,C488,NIE Institute of Technology (NIEIT),MCA,Karnataka,Mysore,PGCET,GM,1120,2985,26,2024,https://nie.ac.in,
174,C488,NIE Institute of Technology (NIEIT),MCA,Karnataka,Karnataka,PGCET,OBC,1880,5124,15,2024,https://nie.ac.in,
175,C488,NIE Institute of Technology (NIEIT),MCA,Karnataka,Mysore,PGCET,SC,3672,9862,5,2024,https://nie.ac.in,
176,C488,NIE Institute of Technology (NIEIT),MCA,Karnataka,Mysore,PGCET,ST,2794,7284,2,2024,https://nie.ac.in,
177,C456,PES College of Engineering (PESCE),MCA,Karnataka,Mandya,PGCET,GM,2250,5127,30,2024,https://pesce.ac.in,
178,C456,PES College of Engineering (PESCE),MCA,Karnataka,Mandya,PGCET,OBC,3145,6730,18,2024,https://pesce.ac.in,
179,C456,PES College of Engineering (PESCE),MCA,Karnataka,Mandya,PGCET,SC,7852,14792,4,2024,https://pesce.ac.in,
180,C456,PES College of Engineering (PESCE),MCA,Karnataka,Mandya,PGCET,ST,8221,15823,2,2024,https://pesce.ac.in,
181,C480,JSS STU (SJCE South Campus),MCA,Karnataka,Mysore,PGCET,GM,1890,4702,28,2024,https://jssstuniv.in,
182,C480,JSS STU (SJCE South Campus),MCA,Karnataka,Mysore,PGCET,OBC,2711,6234,16,2024,https://jssstuniv.in,
183,C480,JSS STU (SJCE South Campus),MCA,Karnataka,Mysore,PGCET,SC,6455,13280,4,2024,https://jssstuniv.in,
184,C480,JSS STU (SJCE South Campus),MCA,Karnataka,Mysore,PGCET,ST,7251,14357,2,2024,https://jssstuniv.in,
185,C631,Malnad College of Engineering (MCE),MCA,Karnataka,Hassan,PGCET,GM,2985,6120,30,2024,https://mcehassan.ac.in,
186,C631,Malnad College of Engineering (MCE),MCA,Karnataka,Hassan,PGCET,OBC,3760,5084,18,2024,https://mcehassan.ac.in,
187,C631,Malnad College of Engineering (MCE),MCA,Karnataka,Hassan,PGCET,SC,2894,5620,4,2024,https://mcehassan.ac.in,
188,C631,Malnad College of Engineering (MCE),MCA,Karnataka,Hassan,PGCET,ST,2420,7852,2,2024,https://mcehassan.ac.in,
189,C484,St. Joseph Engineering College (SJEC),MCA,Karnataka,Mangaluru,PGCET,GM,3120,6820,30,2024,https://sjec.ac.in,
190,C484,St. Joseph Engineering College (SJEC),MCA,Karnataka,Mangaluru,PGCET,OBC,3890,8290,18,2024,https://sjec.ac.in,
191,C484,St. Joseph Engineering College (SJEC),MCA,Karnataka,Mangaluru,PGCET,SC,9600,17840,4,2024,https://sjec.ac.in,
192,C484,St. Joseph Engineering College (SJEC),MCA,Karnataka,Mangaluru,PGCET,ST,7210,9210,2,2024,https://sjec.ac.in,
193,C421,Dayananda Sagar College of Engineering (DSCE),MCA,Karnataka,Bengaluru,PGCET,GM,319,2057,34,2025,https://dsce.edu.in,
194,C421,Dayananda Sagar College of Engineering (DSCE),MCA,Karnataka,Bengaluru,PGCET,OBC,846,1325,22,2025,https://dsce.edu.in,
195,C421,Dayananda Sagar College of Engineering (DSCE),MCA,Karnataka,Bengaluru,PGCET,SC,2265,5374,6,2025,https://dsce.edu.in,
196,C421,Dayananda Sagar College of Engineering (DSCE),MCA,Karnataka,Bengaluru,PGCET,ST,910,5747,4,2025,https://dsce.edu.in,
197,C414,BMS College of Engineering (BMSCE),MCA,Karnataka,Bengaluru,PGCET,GM,1394,2157,30,2025,https://bmsce.ac.in,
198,C414,BMS College of Engineering (BMSCE),MCA,Karnataka,Bengaluru,PGCET,OBC,1086,3666,21,2025,https://bmsce.ac.in,
199,C414,BMS College of Engineering (BMSCE),MCA,Karnataka,Bengaluru,PGCET,SC,6799,12063,4,2025,https://bmsce.ac.in,
200,C414,BMS College of Engineering (BMSCE),MCA,Karnataka,Bengaluru,PGCET,ST,6675,10031,3,2025,https://bmsce.ac.in,
201,C463,RV College of Engineering (RVCE),MCA,Karnataka,Bengaluru,PGCET,GM,111,676,29,2025,https://rvce.edu.in,
202,C463,RV College of Engineering (RVCE),MCA,Karnataka,Bengaluru,PGCET,OBC,1725,3633,20,2025,https://rvce.edu.in,
203,C463,RV College of Engineering (RVCE),MCA,Karnataka,Bengaluru,PGCET,SC,460,628,5,2025,https://rvce.edu.in,
204,C463,RV College of Engineering (RVCE),MCA,Karnataka,Bengaluru,PGCET,ST,201,584,4,2025,https://rvce.edu.in,
205,C457,PES University (RR Campus),MCA,Karnataka,Bengaluru,PGCET,GM,281,2209,31,2025,https://pes.edu,
206,C457,PES University (RR Campus),MCA,Karnataka,Bengaluru,PGCET,OBC,898,5044,21,2025,https://pes.edu,
207,C457,PES University (RR Campus),MCA,Karnataka,Bengaluru,PGCET,SC,3087,6000,5,2025,https://pes.edu,
208,C457,PES University (RR Campus),MCA,Karnataka,Bengaluru,PGCET,ST,1176,7781,3,2025,https://pes.edu,
209,C524,Acharya Institute of Technology (AIT),MCA,Karnataka,Bengaluru,PGCET,GM,988,1689,35,2025,https://acharya.ac.in,
