serial_no,college_id,college_name,college_type,state,place,exam_type,category,opening_cutoff_rank,closing_cutoff_rank,seats,year,website,background_images
63,T822,DSCE,MTECH,Karnataka,Bengaluru,PGCET,SC,1090,2590,5,2024,https://dsce.edu.in,
64,T822,DSCE,MTECH,Karnataka,Bengaluru,PGCET,ST,1190,1890,3,2024,https://dsce.edu.in,
65,T857,RVCE,MTECH,Karnataka,Bengaluru,PGCET,GM,130,690,17,2024,https://rvce.edu.in,
66,T857,RVCE,MTECH,Karnataka,Bengaluru,PGCET,OBC,310,790,11,2024,https://rvce.edu.in,
67,T857,RVCE,MTECH,Karnataka,Bengaluru,PGCET,SC,790,1190,3,2024,https://rvce.edu.in,
68,T857,RVCE,MTECH,Karnataka,Bengaluru,PGCET,ST,890,1490,2,2024,https://rvce.edu.in,
69,T845,MSRIT,MTECH,Karnataka,Bengaluru,PGCET,GM,170,870,23,2024,https://msrit.edu,
70,T845,MSRIT,MTECH,Karnataka,Bengaluru,PGCET,OBC,450,890,17,2024,https://msrit.edu,
71,T845,MSRIT,MTECH,Karnataka,Bengaluru,PGCET,SC,790,990,4,2024,https://msrit.edu,
72,T845,MSRIT,MTECH,Karnataka,Bengaluru,PGCET,ST,690,890,3,2024,https://msrit.edu,
73,T856,PES University,MTECH,Karnataka,Bengaluru,PGCET,GM,150,740,11,2024,https://pes.edu,
74,T856,PES University,MTECH,Karnataka,Bengaluru,PGCET,OBC,340,890,7,2024,https://pes.edu,
75,T856,PES University,MTECH,Karnataka,Bengaluru,PGCET,SC,190,890,2,2024,https://pes.edu,
76,T856,PES University,MTECH,Karnataka,Bengaluru,PGCET,ST,890,1090,1,2024,https://pes.edu,
77,T809,BMSCE,MTECH,Karnataka,Bengaluru,PGCET,GM,200,540,23,2024,https://bmsce.ac.in,
78,T809,BMSCE,MTECH,Karnataka,Bengaluru,PGCET,OBC,470,890,19,2024,https://bmsce.ac.in,
79,T809,BMSCE,MTECH,Karnataka,Bengaluru,PGCET,SC,1490,2390,6,2024,https://bmsce.ac.in,
80,T809,BMSCE,MTECH,Karnataka,Bengaluru,PGCET,ST,1690,1890,3,2024,https://bmsce.ac.in,
81,T873,SJCE,MTECH,Karnataka,Mysore,PGCET,GM,250,870,17,2024,https://jssstuniv.in,
82,T873,SJCE,MTECH,Karnataka,Mysore,PGCET,OBC,510,890,11,2024,https://jssstuniv.in,
83,T873,SJCE,MTECH,Karnataka,Mysore,PGCET,SC,890,1090,5,2024,https://jssstuniv.in,
84,T873,SJCE,MTECH,Karnataka,Mysore,PGCET,ST,990,1490,3,2024,https://jssstuniv.in,
85,T838 ,KLE Tech,MTECH,Karnataka,Belagavi,PGCET,GM,310,1190,23,2024,https://kletech.ac.in,
86,T838 ,KLE Tech,MTECH,Karnataka,Belagavi,PGCET,OBC,640,2890,17,2024,https://kletech.ac.in,
87,T838 ,KLE Tech,MTECH,Karnataka,Belagavi,PGCET,SC,2090,6390,5,2024,https://kletech.ac.in,
88,T838 ,KLE Tech,MTECH,Karnataka,Belagavi,PGCET,ST,1590,5890,3,2024,https://kletech.ac.in,
89,T864,SDMCET,MTECH,Karnataka,Dharwad,PGCET,GM,1140,5790,17,2024,https://sdmcet.ac.in,
90,T864,SDMCET,MTECH,Karnataka,Dharwad,PGCET,OBC,1790,6490,11,2024,https://sdmcet.ac.in,
91,T864,SDMCET,MTECH,Karnataka,Dharwad,PGCET,SC,3290,8190,5,2024,https://sdmcet.ac.in,
92,T864,SDMCET,MTECH,Karnataka,Dharwad,PGCET,ST,2290,8590,3,2024,https://sdmcet.ac.in,
93,T816 ,KLE ,MTECH,Karnataka,Hubballi,PGCET,GM,310,1190,23,2024,https://kletech.ac.in,
94,T816 ,KLE ,MTECH,Karnataka,Hubballi,PGCET,OBC,640,2890,17,2024,https://kletech.ac.in,
95,T816 ,KLE ,MTECH,Karnataka,Hubballi,PGCET,SC,2090,6390,5,2024,https://kletech.ac.in,
96,T816 ,KLE ,MTECH,Karnataka,Hubballi,PGCET,ST,1590,6890,3,2024,https://kletech.ac.in,
97,T614,MIT Thandavapura,MTECH,Karnataka,Mysore,PGCET,GM,1640,6190,17,2024,https://mitt.edu.in,
98,T614,MIT Thandavapura,MTECH,Karnataka,Mysore,PGCET,OBC,2290,6990,11,2024,https://mitt.edu.in,
99,T614,MIT Thandavapura,MTECH,Karnataka,Mysore,PGCET,SC,3790,8790,5,2024,https://mitt.edu.in,
100,T614,MIT Thandavapura,MTECH,Karnataka,Mysore,PGCET,ST,2590,9190,3,2024,https://mitt.edu.in,
101,T946,REVA University,MTECH,Karnataka,Bengaluru,PGCET,GM,1290,2990,23,2024,https://reva.edu.in,
102,T946,REVA University,MTECH,Karnataka,Bengaluru,PGCET,OBC,2090,3790,15,2024,https://reva.edu.in,
103,T946,REVA University,MTECH,Karnataka,Bengaluru,PGCET,SC,3790,6990,7,2024,https://reva.edu.in,
104,T946,REVA University,MTECH,Karnataka,Bengaluru,PGCET,ST,2790,6390,3,2024,https://reva.edu.in,
105,T610,CMR / CMRIT,MTECH,Karnataka,Bengaluru,PGCET,GM,1690,6390,17,2024,https://cmrit.ac.in,
106,T610,CMR / CMRIT,MTECH,Karnataka,Bengaluru,PGCET,OBC,2590,7190,11,2024,https://cmrit.ac.in,
107,T610,CMR / CMRIT,MTECH,Karnataka,Bengaluru,PGCET,SC,4490,9590,5,2024,https://cmrit.ac.in,
108,T610,CMR / CMRIT,MTECH,Karnataka,Bengaluru,PGCET,ST,3190,9990,3,2024,https://cmrit.ac.in,
109,T949,BMSIT,MTECH,Karnataka,Bengaluru,PGCET,GM,1010,5390,17,2024,https://bmsit.ac.in,
110,T949,BMSIT,MTECH,Karnataka,Bengaluru,PGCET,OBC,1790,6190,11,2024,https://bmsit.ac.in,
111,T949,BMSIT,MTECH,Karnataka,Bengaluru,PGCET,SC,3590,8390,5,2024,https://bmsit.ac.in,
112,T949,BMSIT,MTECH,Karnataka,Bengaluru,PGCET,ST,2290,8990,3,2024,https://bmsit.ac.in,
113,T850,New Horizon COE,MTECH,Karnataka,Bengaluru,PGCET,GM,1490,6290,17,2024,https://newhorizon.edu.in,
114,T850,New Horizon COE,MTECH,Karnataka,Bengaluru,PGCET,OBC,2390,6890,11,2024,https://newhorizon.edu.in,
115,T850,New Horizon COE,MTECH,Karnataka,Bengaluru,PGCET,SC,4190,8990,5,2024,https://newhorizon.edu.in,
116,T850,New Horizon COE,MTECH,Karnataka,Bengaluru,PGCET,ST,3090,9490,3,2024,https://newhorizon.edu.in,
117,T983 ,PRESIDENCY UNIVERSITY,MTECH,Karnataka,Bengaluru,PGCET,GM,1070,5190,23,2024,https://presidencyuniversity.in,
118,T983 ,PRESIDENCY UNIVERSITY,MTECH,Karnataka,Bengaluru,PGCET,OBC,1790,6090,17,2024,https://presidencyuniversity.in,
119,T983 ,PRESIDENCY UNIVERSITY,MTECH,Karnataka,Bengaluru,PGCET,SC,3390,7790,5,2024,https://presidencyuniversity.in,
120,T983 ,PRESIDENCY UNIVERSITY,MTECH,Karnataka,Bengaluru,PGCET,ST,2490,8290,3,2024,https://presidencyuniversity.in,
121,T822,DSCE,MTECH,Karnataka,Bengaluru,PGCET,GM,563,1060,26,2025,https://dsce.edu.in,
122,T822,DSCE,MTECH,Karnataka,Bengaluru,PGCET,OBC,443,1162,20,2025,https://dsce.edu.in,
123,T822,DSCE,MTECH,Karnataka,Bengaluru,PGCET,SC,1053,2554,8,2025,https://dsce.edu.in,
124,T822,DSCE,MTECH,Karnataka,Bengaluru,PGCET,ST,1160,1853,6,2025,https://dsce.edu.in,
125,T857,RVCE,MTECH,Karnataka,Bengaluru,PGCET,GM,98,659,20,2025,https://rvce.edu.in,
126,T857,RVCE,MTECH,Karnataka,Bengaluru,PGCET,OBC,280,758,14,2025,https://rvce.edu.in,
127,T857,RVCE,MTECH,Karnataka,Bengaluru,PGCET,SC,751,1159,6,2025,https://rvce.edu.in,
128,T857,RVCE,MTECH,Karnataka,Bengaluru,PGCET,ST,860,1454,5,2025,https://rvce.edu.in,
129,T845,MSRIT,MTECH,Karnataka,Bengaluru,PGCET,GM,132,835,26,2025,https://msrit.edu,
130,T845,MSRIT,MTECH,Karnataka,Bengaluru,PGCET,OBC,420,854,20,2025,https://msrit.edu,
131,T845,MSRIT,MTECH,Karnataka,Bengaluru,PGCET,SC,760,954,7,2025,https://msrit.edu,
132,T845,MSRIT,MTECH,Karnataka,Bengaluru,PGCET,ST,661,852,6,2025,https://msrit.edu,
133,T856,PES University,MTECH,Karnataka,Bengaluru,PGCET,GM,118,709,14,2025,https://pes.edu,
134,T856,PES University,MTECH,Karnataka,Bengaluru,PGCET,OBC,303,859,10,2025,https://pes.edu,
135,T856,PES University,MTECH,Karnataka,Bengaluru,PGCET,SC,158,859,5,2025,https://pes.edu,
136,T856,PES University,MTECH,Karnataka,Bengaluru,PGCET,ST,856,1053,4,2025,https://pes.edu,
137,T809,BMSCE,MTECH,Karnataka,Bengaluru,PGCET,GM,163,509,26,2025,https://bmsce.ac.in,
138,T809,BMSCE,MTECH,Karnataka,Bengaluru,PGCET,OBC,439,859,22,2025,https://bmsce.ac.in,
139,T809,BMSCE,MTECH,Karnataka,Bengaluru,PGCET,SC,1457,2359,9,2025,https://bmsce.ac.in,
140,T809,BMSCE,MTECH,Karnataka,Bengaluru,PGCET,ST,1650,1851,6,2025,https://bmsce.ac.in,
141,T873,SJCE,MTECH,Karnataka,Mysore,PGCET,GM,220,838,20,2025,https://jssstuniv.in,
142,T873,SJCE,MTECH,Karnataka,Mysore,PGCET,OBC,476,859,14,2025,https://jssstuniv.in,
143,T873,SJCE,MTECH,Karnataka,Mysore,PGCET,SC,861,1051,8,2025,https://jssstuniv.in,
144,T873,SJCE,MTECH,Karnataka,Mysore,PGCET,ST,960,1452,6,2025,https://jssstuniv.in,
145,T838 ,KLE Tech,MTECH,Karnataka,Belagavi,PGCET,GM,275,1161,26,2025,https://kletech.ac.in,
146,T838 ,KLE Tech,MTECH,Karnataka,Belagavi,PGCET,OBC,603,2860,20,2025,https://kletech.ac.in,
147,T838 ,KLE Tech,MTECH,Karnataka,Belagavi,PGCET,SC,2050,6351,8,2025,https://kletech.ac.in,
148,T838 ,KLE Tech,MTECH,Karnataka,Belagavi,PGCET,ST,1552,5853,6,2025,https://kletech.ac.in,
149,T864,SDMCET,MTECH,Karnataka,Dharwad,PGCET,GM,1101,5759,20,2025,https://sdmcet.ac.in,
150,T864,SDMCET,MTECH,Karnataka,Dharwad,PGCET,OBC,1754,6454,14,2025,https://sdmcet.ac.in,
151,T864,SDMCET,MTECH,Karnataka,Dharwad,PGCET,SC,3251,8160,8,2025,https://sdmcet.ac.in,
152,T864,SDMCET,MTECH,Karnataka,Dharwad,PGCET,ST,2261,8558,6,2025,https://sdmcet.ac.in,
153,T816 ,KLE ,MTECH,Karnataka,Hubballi,PGCET,GM,275,1160,26,2025,https://kletech.ac.in,
154,T816 ,KLE ,MTECH,Karnataka,Hubballi,PGCET,OBC,602,2851,20,2025,https://kletech.ac.in,
155,T816 ,KLE ,MTECH,Karnataka,Hubballi,PGCET,SC,2060,6360,8,2025,https://kletech.ac.in,
156,T816 ,KLE ,MTECH,Karnataka,Hubballi,PGCET,ST,1559,6858,6,2025,https://kletech.ac.in,
157,T614,MIT Thandavapura,MTECH,Karnataka,Mysore,PGCET,GM,1610,6161,20,2025,https://mitt.edu.in,
158,T614,MIT Thandavapura,MTECH,Karnataka,Mysore,PGCET,OBC,2253,6960,14,2025,https://mitt.edu.in,
159,T614,MIT Thandavapura,MTECH,Karnataka,Mysore,PGCET,SC,3751,8768,8,2025,https://mitt.edu.in,
160,T614,MIT Thandavapura,MTECH,Karnataka,Mysore,PGCET,ST,2553,9152,6,2025,https://mitt.edu.in,
161,T946,REVA University,MTECH,Karnataka,Bengaluru,PGCET,GM,1253,2953,26,2025,https://reva.edu.in,
162,T946,REVA University,MTECH,Karnataka,Bengaluru,PGCET,OBC,2060,3761,18,2025,https://reva.edu.in,
163,T946,REVA University,MTECH,Karnataka,Bengaluru,PGCET,SC,3751,6961,10,2025,https://reva.edu.in,
164,T946,REVA University,MTECH,Karnataka,Bengaluru,PGCET,ST,2761,6360,6,2025,https://reva.edu.in,
165,T610,CMR / CMRIT,MTECH,Karnataka,Bengaluru,PGCET,GM,1660,6360,20,2025,https://cmrit.ac.in,
166,T610,CMR / CMRIT,MTECH,Karnataka,Bengaluru,PGCET,OBC,2560,7159,14,2025,https://cmrit.ac.in,
167,T610,CMR / CMRIT,MTECH,Karnataka,Bengaluru,PGCET,SC,4454,9550,8,2025,https://cmrit.ac.in,
168,T610,CMR / CMRIT,MTECH,Karnataka,Bengaluru,PGCET,ST,3160,9957,6,2025,https://cmrit.ac.in,
169,T949,BMSIT,MTECH,Karnataka,Bengaluru,PGCET,GM,975,5360,20,2025,https://bmsit.ac.in,
170,T949,BMSIT,MTECH,Karnataka,Bengaluru,PGCET,OBC,1753,6158,14,2025,https://bmsit.ac.in,
171,T949,BMSIT,MTECH,Karnataka,Bengaluru,PGCET,SC,3554,8361,8,2025,https://bmsit.ac.in,
172,T949,BMSIT,MTECH,Karnataka,Bengaluru,PGCET,ST,2261,8960,6,2025,https://bmsit.ac.in,
173,T850,New Horizon COE,MTECH,Karnataka,Bengaluru,PGCET,GM,1457,6251,20,2025,https://newhorizon.edu.in,
174,T850,New Horizon COE,MTECH,Karnataka,Bengaluru,PGCET,OBC,2358,6860,14,2025,https://newhorizon.edu.in,
175,T850,New Horizon COE,MTECH,Karnataka,Bengaluru,PGCET,SC,4162,8960,8,2025,https://newhorizon.edu.in,
176,T850,New Horizon COE,MTECH,Karnataka,Bengaluru,PGCET,ST,3060,9461,6,2025,https://newhorizon.edu.in,
177,T983 ,PRESIDENCY UNIVERSITY,MTECH,Karnataka,Bengaluru,PGCET,GM,1039,5152,26,2025,https://presidencyuniversity.in,
178,T983 ,PRESIDENCY UNIVERSITY,MTECH,Karnataka,Bengaluru,PGCET,OBC,1759,6052,20,2025,https://presidencyuniversity.in,
179,T983 ,PRESIDENCY UNIVERSITY,MTECH,Karnataka,Bengaluru,PGCET,SC,3350,7760,8,2025,https://presidencyuniversity.in,
180,T983 ,PRESIDENCY UNIVERSITY,MTECH,Karnataka,Bengaluru,PGCET,ST,2451,8260,6,2025,https://presidencyuniversity.in,
